I
1100 Generated by WorldEditor 1.6.0r1

1     20 0 0 O88 RIO VISTA MUNI
1302 city 
1302 country 
1302 datum_lat 38.193388889
1302 datum_lon -121.703638889
1302 faa_code 
1302 iata_code 
1302 icao_code 
1302 region_code K2
1302 state 
1302 transition_alt 18000
1302 transition_level 18000
100 22.86 1 0 0.25 0 2 0 07  38.19348433 -121.70962837    0    0 2 0 0 0 25  38.19434717 -121.69500206    0    0 2 0 0 2
100 21.00 1 0 0.25 0 2 0 15  38.19532224 -121.70760557    0    0 2 0 0 0 33  38.18963541 -121.70497808    0    0 2 0 0 0
110 4 0.50 0.0000 New Taxiway 18
111  38.19465659 -121.70629395
111  38.19486949 -121.70564570
112  38.19491781 -121.70542103  38.19499307 -121.70520035
111  38.19520427 -121.70531700
112  38.19528913 -121.70572203  38.19519587 -121.70596561
111  38.19490325 -121.70576101
113  38.19471979 -121.70632575
110 1 0.35 0.0000 New Taxiway 1
111  38.19513395 -121.70758472
112  38.19508875 -121.70743083  38.19521703 -121.70743394
111  38.19527933 -121.70728937 102
112  38.19536485 -121.70699558  38.19540516 -121.70685257 102
111  38.19532445 -121.70679531 102
112  38.19396809 -121.70618395  38.19380976 -121.70611679
111  38.19396809 -121.70618395
112  38.19396809 -121.70618395  38.19388893 -121.70615037 102
112  38.19382168 -121.70627642  38.19379795 -121.70634365
111  38.19379402 -121.70641926
112  38.19378117 -121.70664154  38.19377523 -121.70677540
111  38.19387789 -121.70681966
112  38.19395933 -121.70704635  38.19382868 -121.70703015
111  38.19375742 -121.70715645
111  38.19369548 -121.70759580
112  38.19353763 -121.70711154  38.19354612 -121.70693343
111  38.19343753 -121.70679526
112  38.19339595 -121.70666464  38.19344686 -121.70665817
111  38.19355375 -121.70649301
111  38.19365726 -121.70634944
112  38.19357654 -121.70616731  38.19358509 -121.70598855
111  38.19352694 -121.70596796 102
112  38.19328647 -121.70585513  38.19315208 -121.70579295 102
111  38.19310611 -121.70596138 102
112  38.19308560 -121.70638237  38.19308490 -121.70645074
111  38.19322559 -121.70651731
111  38.19304554 -121.70649228
112  38.19280853 -121.70634927  38.19287817 -121.70634927
111  38.19296124 -121.70622803 102
112  38.19299178 -121.70590316  38.19300522 -121.70574460 102
111  38.19295948 -121.70571527 102
112  38.19010155 -121.70438515  38.18996960 -121.70431614 102
111  38.18991976 -121.70441873 102
112  38.18981234 -121.70479160  38.18978618 -121.70489054
111  38.18987301 -121.70496049
111  38.19009084 -121.70519913
112  38.18991981 -121.70522711  38.18972312 -121.70513541
111  38.18968766 -121.70524603 102
112  38.18955185 -121.70564165  38.18948735 -121.70587107 102
111  38.18962955 -121.70592703 102
112  38.19024783 -121.70620611  38.19052915 -121.70633587
112  38.19113621 -121.70662157  38.19151761 -121.70679706
